match, timestamp, goldDif, creepDif, killDif, assistDif, dragonDif, winner
137, 1800652, -7445, -114, -3, -13, -3, 0
138, 1800692, -15460, -12, -12, -11, -1, 0
139, 1800693, 6772, 52, 10, 38, 1, 1
140, 1800703, -12595, -62, -13, -7, -3, 0
142, 1800849, 11880, 116, 1, 1, 3, 1
144, 1800581, 6931, -34, 18, 33, 2, 1
145, 1800605, 10442, -20, 12, 36, 3, 1
146, 1800709, -15620, -81, -26, -26, -3, 0
147, 1800634, 14676, 22, 21, 15, 1, 1
148, 1800825, -8022, -115, -7, -9, -1, 0
149, 1800653, 10469, 144, 9, -9, 1, 1
150, 1800557, -4968, -104, 4, 23, 1, 1
151, 1800868, -1296, -111, 6, 15, 1, 0
152, 1800807, -13409, 9, -20, -19, 1, 0
153, 1800816, 10058, -31, 12, 4, 1, 1
155, 1800664, 12398, -42, 12, 32, 0, 1
156, 1800538, 7566, 27, -4, 4, 1, 1
158, 1800530, 12217, -50, 18, 45, 2, 1
159, 1800648, -1105, 16, -9, 4, 0, 1
160, 1800593, 10238, -49, 14, 13, 1, 1
161, 1800554, 4645, -22, 7, 13, 0, 1
162, 1800587, -12571, -45, -17, -22, -1, 0
164, 1800723, -5295, 58, -16, -26, -2, 0
166, 1800658, 13754, 101, 23, 22, 2, 1
167, 1800706, 7705, 12, 5, 2, 1, 1
185, 1800633, 9956, -96, 12, 32, 3, 1
216, 1800533, -499, 4, 0, 1, -1, 0
217, 1800647, 1770, 62, 5, 22, -1, 0
218, 1800584, -4677, -33, -9, 3, -2, 0
219, 1800584, 23, -38, 0, 3, -3, 1
220, 1800606, -2417, -31, 2, 9, -2, 0
221, 1800682, 3044, 54, 6, 5, 3, 1
222, 1800754, -4201, -112, 1, 7, 1, 0
223, 1800694, 8742, -14, 18, 17, 0, 1
224, 1800627, 1591, 51, -2, -9, 1, 1
225, 1800688, 3583, -12, 5, -4, -1, 1
226, 1800581, -117, -27, 2, -7, 2, 1
227, 1800616, -60, -21, 5, 20, 1, 1
228, 1800423, 2411, 71, -12, -23, 0, 1
229, 1800587, 5423, 30, 12, 27, 1, 0
230, 1800759, 3288, -26, 9, -13, 3, 1
231, 1800666, 4075, -43, 5, 21, -1, 1
232, 1800673, 2198, -72, 2, 0, 3, 0
233, 1800783, -6610, -11, -18, -27, -3, 0
234, 1800620, 7852, 28, 4, 5, 1, 0
235, 1800573, 2474, 26, 3, 24, -1, 0
236, 1800639, -1088, -99, -9, -15, 0, 1
237, 1800576, 1639, 91, 0, -11, -2, 1
238, 1800727, -3019, 21, -2, -17, -2, 0
239, 1800496, 1611, -5, 3, 3, 0, 0
240, 1800677, 2518, 142, -2, -16, 3, 1
241, 1800719, -129, -95, -2, 1, 1, 1
242, 1800633, -3605, -55, -4, 5, -1, 0
243, 1800655, -10941, -50, -4, -17, 0, 0
244, 1800723, 12066, 168, 25, 26, 3, 1
245, 1800641, -5217, 48, -7, -14, 1, 0
246, 1800622, 3310, -18, 7, 11, 2, 1
247, 1800722, -4014, -53, 0, -13, 0, 0
248, 1800576, 3263, -36, 5, 23, 1, 1
249, 1800707, -10308, -128, 3, 23, -3, 0
250, 1800655, -7333, -32, -11, -30, -3, 0
251, 1800643, -7853, -140, 1, 0, -1, 0
252, 1800712, 6445, -29, 6, 22, 1, 1
253, 1800607, -10533, 53, -16, -19, -2, 0
254, 1800715, 9634, -21, 4, 7, 0, 1
255, 1800585, 5210, 136, 1, -4, -1, 1
256, 1800704, 7255, 44, 6, 11, -1, 1
257, 1800740, 6358, 26, 18, 41, 0, 1
258, 1800627, 6696, 42, 2, 13, 3, 1
259, 1800672, 2605, 67, 10, 6, 1, 0
260, 1800610, -13231, -29, -14, 3, -1, 0
261, 1800686, 6220, -12, 6, 2, -2, 1
262, 1800707, -14803, -18, -18, -35, -2, 0
263, 1800681, -10713, 23, -16, -33, -2, 0
264, 1800777, 7188, -19, 2, 22, 1, 1
265, 1800510, 9614, -15, 5, 6, 0, 1
266, 1800562, 11032, -7, 12, 25, 0, 1
267, 1800769, -14842, -82, -9, -21, -1, 0
268, 1800646, 10018, 107, 11, 18, 1, 1
269, 1800763, 4778, 1, 4, -1, 1, 1
270, 1800615, -11664, -99, -11, -16, -1, 0
271, 1800582, -9669, -57, -4, 4, -2, 0
272, 1800766, 6604, -32, -1, 8, 0, 1
277, 1800670, 9276, 111, 10, 10, 3, 1
278, 1800581, 17721, 85, 17, 18, 3, 1
279, 1800689, 8920, 54, 0, 12, 0, 1
280, 1800691, 16705, 40, 20, 46, 4, 1
282, 1800696, -14057, -62, -17, -18, -1, 0
283, 1800536, 9472, 33, 13, 16, 2, 1
285, 1800693, -9036, -36, -8, -41, 1, 0
286, 1800740, 15653, 100, 17, 52, -1, 1
289, 1800620, 11842, -33, 20, 37, 3, 1
335, 1800614, -5038, -81, -7, -3, -2, 0
336, 1800611, 806, -90, 7, 22, -1, 0
337, 1800744, 2079, -115, 14, 8, 3, 1
338, 1800773, -10569, -39, -15, -24, -1, 1
339, 1800535, 1956, -24, 3, 0, 0, 1
340, 1800634, -701, -57, 6, 2, 0, 1
341, 1800593, -2277, -107, 6, -7, 1, 0
342, 1800606, -3727, -31, -12, -1, 3, 0
343, 1800796, -7290, -128, -3, -6, 0, 1
344, 1800692, -5610, -116, -5, 1, -1, 0
345, 1800542, 1037, -71, 4, 28, 1, 1
346, 1800627, -6218, 37, -10, -27, -2, 1
347, 1800709, -105, -28, -8, -12, 2, 1
348, 1800566, -7661, -87, -6, -3, -1, 1
349, 1800608, 6516, 11, 12, 29, 1, 1
350, 1800630, 2034, -66, 0, -7, -1, 0
351, 1800561, -5179, -79, -3, -1, -2, 0
352, 1800676, -167, -2, -5, -18, 2, 1
353, 1800555, -3224, -65, -2, 5, -1, 1
354, 1800637, -582, -34, -5, -14, -2, 0
355, 1800534, 35, -20, 6, 15, -1, 1
356, 1800615, 3754, -27, 8, 10, 0, 0
357, 1800800, 1704, 9, 4, 12, -1, 0
358, 1800809, 3175, 29, -5, -3, 2, 1
359, 1800774, 3132, -27, 9, 7, 2, 1
360, 1800680, -432, 42, -3, -17, -1, 1
361, 1800416, -9200, 44, -14, -19, 1, 1
362, 1800649, -3014, -68, 7, -4, 1, 0
363, 1800586, 13496, 133, 12, -15, 3, 1
364, 1800881, 7150, 22, 6, 17, 1, 0
365, 1800598, 5754, -24, 8, 7, 1, 1
366, 1800665, 7662, 143, 7, -11, -3, 0
367, 1800651, 7175, 22, 12, 4, 1, 1
368, 1800653, 8009, 43, 10, 8, 2, 1
369, 1800725, 1132, 48, -3, -8, 0, 0
370, 1800631, -9305, -69, -8, 7, -3, 0
371, 1800570, 1, -54, 7, 14, 1, 1
372, 1800678, 6409, 52, 8, 4, -3, 1
373, 1800624, -2098, -86, 1, 15, -3, 0
374, 1800501, 2513, 12, 5, 11, 3, 1
375, 1800633, 9752, -13, 9, 22, 1, 1
