match, timestamp, goldDif, creepDif, killDif, assistDif, dragonDif, winner
0, 1200432, -7411, -83, -8, -2, -1, 0
1, 1200416, -8044, -98, -6, -12, -1, 0
2, 1200503, 562, 37, -1, -12, 2, 0
3, 1200527, -688, 75, -8, -18, 0, 0
4, 1200340, 2647, 21, 4, 15, -2, 0
5, 1200488, 2946, -8, 6, 5, 0, 0
6, 1200577, -3324, -33, -2, 2, 1, 0
7, 1200403, 2122, -2, 3, 12, 1, 1
8, 1200502, 5789, 52, 9, -1, -1, 1
9, 1200409, -1503, -69, 3, 4, -1, 0
10, 1200559, -2845, 85, -3, -9, 2, 0
11, 1200342, -830, 0, -5, -7, 0, 0
12, 1200560, 1981, -9, -2, -11, -2, 1
13, 1200499, 3290, 39, 5, 2, 2, 1
14, 1200505, 2939, 35, 4, 1, 2, 1
15, 1200428, -2427, -32, -6, -5, 1, 1
16, 1200399, -2889, 14, -6, -4, 1, 1
17, 1200471, 4119, 53, 4, -1, 0, 0
18, 1200428, -19, 67, -3, 2, -1, 1
19, 1200402, -1359, 29, -6, -5, 1, 0
20, 1200497, 3381, 81, 8, 9, -1, 0
21, 1200366, 4961, 22, 6, 8, -2, 1
22, 1200471, -728, -7, 3, 9, 2, 1
23, 1200474, -1938, 60, -3, -8, -1, 1
24, 1200464, 3908, -18, 6, -2, 2, 0
25, 1200396, 5228, 51, 3, 2, 0, 1
26, 1200459, 4657, -69, 7, 10, 2, 0
27, 1200599, 7876, 32, 9, 14, 1, 1
28, 1200478, -4624, -9, -5, -1, -2, 0
29, 1200329, -2703, 22, 0, -3, 1, 0
30, 1200330, 775, -5, 0, 1, 1, 1
31, 1200410, -2122, -43, -1, -1, 1, 1
32, 1200426, -1927, -21, -5, -9, 0, 1
33, 1200402, -2505, -25, -3, -1, -1, 0
34, 1200524, -900, 12, -2, -7, 0, 1
35, 1200490, 3917, 115, 7, 3, -1, 0
36, 1200418, 84, -7, 1, 6, 1, 1
37, 1200445, -583, -4, -7, -2, 0, 1
38, 1200528, 1363, 70, -4, -12, 0, 1
39, 1200539, 277, -31, -1, 8, 0, 1
40, 1200498, 3997, 18, 6, 6, 2, 1
41, 1200428, -183, -91, 5, 5, 0, 0
42, 1200452, -718, -20, -8, -17, 2, 1
43, 1200350, 4589, 7, 8, 8, 1, 1
44, 1200299, 1753, 42, -2, -7, 2, 0
45, 1200364, -1903, -40, 11, 15, 1, 1
46, 1200475, 4648, 52, 11, 7, 1, 1
47, 1200487, 1204, 54, -2, -16, -1, 0
48, 1200452, 1195, -20, 2, 9, 0, 1
49, 1200509, 1530, -48, 4, 22, 1, 1
50, 1200367, 901, -36, 1, 3, -1, 0
51, 1200408, -256, -81, 4, 12, 1, 1
52, 1200385, 658, -20, -3, 10, 1, 1
53, 1200348, -3175, -36, -2, -3, 1, 0
54, 1200556, 1502, -7, 6, 4, 2, 0
55, 1200362, 3548, 21, 5, 4, 1, 1
56, 1200455, 4848, 10, 8, 4, 2, 1
57, 1200540, 3312, 69, -1, -5, -1, 1
58, 1200500, 2800, 31, 4, -7, 0, 0
59, 1200455, -1108, 32, -11, -17, -1, 1
