match, timestamp, goldDif, creepDif, killDif, assistDif, dragonDif, winner
0, 600205, -4734, -29, -6, -5, 0, 0
1, 600250, -1793, -72, 1, 0, 0, 0
2, 600264, 1946, 7, 5, 4, 1, 0
3, 600305, -2188, 12, -6, -9, 0, 0
4, 600126, -606, 5, -1, 0, 0, 0
5, 600254, 2123, 3, 6, 4, -1, 0
6, 600286, 512, 7, 0, 1, 0, 0
7, 600136, 887, -42, 1, 3, 0, 1
8, 600259, -249, -7, 1, -3, 0, 1
9, 600173, 109, -29, 1, 1, 0, 0
10, 600228, -1086, 21, -3, -2, 0, 0
11, 600200, 444, -44, 1, 3, 1, 0
12, 600282, -722, -19, -1, -2, 0, 1
13, 600260, 2797, 12, 4, 0, 0, 1
14, 600281, 1664, 13, 4, 3, 1, 1
15, 600225, -343, -18, -3, -2, 0, 1
16, 600215, 716, 12, -2, 0, 0, 1
17, 600213, 2782, 56, 4, 0, 0, 0
18, 600262, 14, 11, 0, 3, 0, 1
19, 600200, -1707, -18, -4, -4, 0, 0
20, 600234, 3568, 51, 7, 8, 0, 0
21, 600198, 939, 1, 2, 3, -1, 1
22, 600244, -1435, -15, -2, 0, 0, 1
23, 600191, -1029, 12, 0, -1, 0, 1
24, 600270, 2205, -7, 5, 5, 0, 0
25, 600161, 746, 3, 1, 1, 0, 1
26, 600217, 698, -47, 2, 1, 0, 0
27, 600288, 2173, 22, 3, 6, 0, 1
28, 600181, -682, 7, -3, -3, 0, 0
29, 600108, 968, 30, 4, 2, 0, 0
30, 600150, -78, -12, 0, 0, 0, 1
31, 600174, -285, -44, 1, 5, 0, 1
32, 600194, 782, -18, 2, 2, 0, 1
33, 600183, -1765, -24, -2, 0, 0, 0
34, 600255, -1540, 9, -4, -5, 0, 1
35, 600224, 2726, 40, 4, 3, 0, 0
36, 600200, -425, -27, -2, 1, 0, 1
37, 600255, -1554, 13, -5, -3, 0, 1
38, 600320, -1390, 17, -4, -8, -1, 1
39, 600223, -2859, -50, -5, -1, 0, 1
40, 600200, 1885, 25, 4, 1, 0, 1
41, 600181, -485, -49, 2, 3, 0, 0
42, 600205, -244, 15, -3, -3, 1, 1
43, 600176, -1610, -7, -3, 0, 0, 1
44, 600114, -2977, 11, -7, -7, 1, 0
45, 600162, 1045, -26, 5, 8, 0, 1
46, 600121, 1129, 30, 1, -1, 0, 1
47, 600222, -442, 15, -1, -3, 0, 0
48, 600229, -451, -17, -1, -6, -1, 1
49, 600320, -2136, -29, -3, -1, 0, 1
50, 600149, -1239, -9, -1, -2, 0, 0
51, 600159, -3318, -63, -5, -2, 0, 1
52, 600174, 3008, 28, 5, 7, 0, 1
53, 600173, -398, -15, -1, 1, 0, 0
54, 600275, 1330, 15, 3, 4, 1, 0
55, 600195, 1630, 16, 3, 2, 0, 1
56, 600166, 456, 1, 1, -2, 0, 1
57, 600300, -1129, 20, -4, -5, 0, 1
58, 600223, -1684, -36, 0, -3, 1, 0
59, 600231, 697, 33, -5, -2, 0, 1
60, 600213, 651, -4, 3, 3, 0, 0
61, 600201, 695, 21, -1, 4, 0, 1
62, 600351, 1212, 12, 2, 0, -1, 1
63, 600250, -1581, -32, -1, 4, -1, 1
64, 600152, -2354, 13, -1, -8, -1, 0
65, 600179, 571, 29, 1, -1, 0, 1
66, 600249, -916, -8, -3, -2, 0, 1
67, 600271, -2281, 10, -5, -5, 0, 0
68, 600268, 1346, 1, 6, -1, 0, 1
69, 600267, -1012, -56, -1, 3, 0, 0
70, 600325, 343, 47, -2, 1, 0, 0
71, 600236, -598, 7, -1, 0, 0, 1
72, 600305, -184, 35, -1, -4, 0, 0
73, 600242, -2526, 6, -6, -6, 0, 1
74, 600161, -3411, -17, -7, -8, 0, 0
75, 600184, 469, 3, 0, -5, 0, 0
76, 600230, -1876, -29, -4, 0, 0, 0
77, 600166, 150, -53, 3, 8, 1, 0
78, 600388, 3210, 13, 6, 4, 0, 1
79, 600290, 325, 18, 1, 1, 0, 0
80, 600181, -1003, 8, -3, -6, 0, 1
81, 600254, 1337, 44, 1, -2, 0, 1
82, 600231, -3559, -45, -7, -4, -1, 0
83, 600198, 1792, -28, 2, 2, 0, 1
84, 600162, -358, -26, 1, -1, 0, 0
85, 600190, 1545, 19, 4, 3, 0, 1
86, 600296, -3687, -8, -7, -9, -1, 0
87, 600246, 945, 24, 2, 2, 1, 0
88, 600172, -45, -50, 1, 4, 0, 0
89, 600123, 1072, 25, 1, -2, 0, 1
90, 600158, -4680, -77, -5, -5, -1, 0
91, 600251, -703, -14, -1, -1, 0, 0
92, 600266, -139, -23, 1, 2, 0, 0
93, 600159, 1559, 22, 3, 3, 0, 1
94, 600193, 2228, 47, 4, -3, 0, 1
95, 600223, 4565, 12, 9, 10, 0, 1
96, 600262, -1107, -12, -1, -1, 0, 1
97, 600204, -2911, -33, -4, -1, 0, 0
98, 600160, -1322, -3, 0, -1, 0, 0
99, 600241, -226, -23, 3, 0, 0, 1
100, 600226, 17, -27, 1, 4, 0, 1
101, 600272, 4045, 48, 7, 5, 0, 1
102, 600302, -3017, 34, -7, -10, 0, 0
103, 600236, 1872, 52, 2, 3, 0, 1
104, 600300, 580, 28, 0, 4, 0, 1
105, 600227, -556, -6, -2, 0, 0, 1
106, 600163, -1823, 41, -6, -4, 0, 0
107, 600227, 343, 28, 1, -2, 0, 1
108, 600192, -2511, 5, -4, -4, 0, 0
109, 600131, 1112, 12, 3, -1, 0, 1
110, 600125, -42, -55, 2, 1, 0, 0
111, 600181, -2315, -36, -4, -4, 0, 1
112, 600193, 1357, 2, 1, 0, 0, 1
113, 600203, 396, 37, 0, 1, 0, 0
114, 600289, -1320, -13, -2, -3, 0, 0
115, 600225, 562, 34, -1, -3, -1, 1
116, 600247, -1230, -33, 2, 5, 0, 0
117, 600239, 245, 14, 2, 1, -1, 0
118, 600207, 622, -1, 2, 2, 0, 0
119, 600165, 2727, 27, 5, 11, 0, 0
120, 600232, 351, 38, 1, -2, 0, 1
121, 600190, 485, 2, 2, 5, 0, 0
122, 600293, -2947, -10, -5, -3, 0, 0
123, 600214, -333, -20, 0, 3, 0, 0
124, 600218, 1708, 14, 3, 5, 0, 1
125, 600188, -512, 10, 0, -1, 0, 1
126, 600266, -382, -25, 0, -4, 1, 1
127, 600269, 1492, 23, 2, 2, 0, 1
128, 600236, -333, -11, 0, 3, 0, 1
129, 600152, -286, 29, 0, -3, 0, 0
130, 600224, 2043, 43, 4, 0, -1, 0
131, 600169, -2701, 8, -5, -9, -1, 1
132, 600223, 1134, 11, 1, 0, 0, 1
133, 600256, 795, 3, 3, 4, 0, 1
134, 600166, -309, -21, 0, 3, 0, 0
135, 600384, -732, 31, -1, -5, 0, 1
136, 600314, -2137, -24, -4, -5, 0, 0
137, 600204, -1236, -28, 0, -2, 0, 0
138, 600224, -797, -10, -1, 4, 0, 0
139, 600170, 1954, 28, 4, 8, 1, 1
140, 600277, -1883, -33, -3, -3, 0, 0
141, 600271, 3584, -13, 6, 10, 0, 0
142, 600165, 1113, 20, 1, 1, 0, 1
143, 600230, 504, 21, 0, -3, 0, 1
144, 600168, 1935, 13, 4, 11, 0, 1
145, 600204, 1401, -13, 3, 3, 0, 1
146, 600193, -2250, -32, -4, -2, 0, 0
147, 600288, 690, 25, 1, 1, 0, 1
148, 600383, 527, -16, 1, 6, 0, 0
149, 600222, 1858, 50, 2, -1, 0, 1
150, 600249, -2644, -22, -3, 2, 0, 1
151, 600345, -1616, -20, -2, 2, 0, 0
152, 600341, -1368, -12, -4, -5, 0, 0
153, 600278, -232, 12, -2, -3, 0, 1
154, 600257, -5417, -56, -11, -4, -1, 0
155, 600244, 2417, 37, 3, 2, 0, 1
156, 600162, -3216, -16, -9, -5, 0, 1
157, 600230, -338, 10, 0, -3, 0, 1
158, 600191, 1818, -19, 5, 7, 0, 1
159, 600297, 122, 6, 0, 4, 0, 1
160, 600220, -1120, -33, -1, -2, 0, 1
161, 600189, -1874, -26, -2, -5, -1, 1
162, 600145, 445, 34, 0, -3, 0, 0
163, 600273, 3017, 22, 4, 3, 0, 1
164, 600245, 2147, 23, 4, 5, 0, 0
165, 600361, -937, -16, -1, -7, 0, 0
166, 600189, 2029, 20, 6, 5, 0, 1
167, 600290, 2192, 45, 1, 2, 0, 1
168, 600246, 1988, -9, 3, 3, -1, 1
169, 600208, -3299, -36, -4, -5, 0, 0
170, 600196, -593, -8, 0, -2, 0, 1
171, 600359, 3643, 32, 6, 9, 1, 1
172, 600196, 2646, -25, 3, 5, 0, 1
173, 600186, 41, 36, -1, -2, 0, 0
174, 600237, 1638, 17, 3, 3, -1, 1
175, 600164, -1641, 6, -4, -8, 0, 0
176, 600261, -3822, 1, -6, -6, 0, 0
177, 600277, 947, 30, 4, -2, 1, 1
178, 600144, -3395, -54, -3, -4, 0, 0
179, 600236, 25, -31, 1, -1, 0, 1
180, 600233, 1790, 17, 2, 3, 0, 1
181, 600194, -835, -9, 1, -1, 0, 0
182, 600242, -3460, -68, -5, 0, 0, 0
183, 600344, 2400, 15, 4, 4, 0, 1
184, 600292, -1051, -7, -2, 0, -1, 0
185, 600167, 1436, -4, 4, 7, 0, 1
186, 600232, -2745, 1, -7, 0, 0, 0
187, 600286, 223, 15, 0, 2, 0, 1
188, 600234, 811, 40, 1, -3, 0, 1
189, 600217, 1323, 40, 1, -1, 0, 0
190, 600287, 1705, 45, 2, 0, 0, 1
191, 600361, -2900, -83, -4, -6, 0, 0
192, 600332, -2685, -42, 0, 1, 0, 0
193, 600262, 6296, 62, 9, 6, 0, 1
194, 600264, 1352, 0, 3, 8, 1, 1
195, 600145, -200, 22, -1, 0, 0, 1
196, 600150, 2864, -17, 6, 10, 1, 1
197, 600225, 2830, 54, 5, 2, 0, 1
198, 600211, -504, -1, -3, -6, -1, 0
199, 600170, -3864, -51, -6, -5, 0, 0
200, 600248, -1805, -35, -2, -4, 0, 0
201, 600136, -3562, -50, -5, -1, 0, 0
202, 600260, 156, -3, 0, 1, 0, 0
203, 600170, -2486, -47, -3, -3, -1, 0
204, 600144, 4453, 46, 9, 11, 0, 1
205, 600221, 783, -11, 5, 3, 1, 1
206, 600190, 3364, 29, 6, 6, 0, 1
207, 600230, 3497, 23, 6, 4, 0, 1
208, 600162, -3617, 2, -7, -15, 0, 0
209, 600248, 5559, 54, 7, 4, 0, 1
210, 600276, -1966, -25, -4, -7, 0, 0
211, 600200, -4957, -30, -9, -11, 0, 0
212, 600255, -5037, -64, -11, -3, -1, 0
213, 600186, 3460, -30, 8, 12, 0, 1
214, 600124, 2080, 67, 2, -1, 0, 1
215, 600242, 5103, 80, 10, 2, 0, 1
216, 600138, -1081, -10, -3, -2, 0, 0
217, 600213, -1493, 0, -2, -1, 0, 0
218, 600171, -2144, 11, -3, -6, 0, 0
219, 600121, -854, -3, -2, 2, 0, 1
220, 600186, -2021, 16, -5, -6, 0, 0
221, 600203, 1673, 48, 2, 2, 0, 1
222, 600200, -472, -25, -1, 0, 0, 0
223, 600214, 2956, -40, 7, 8, 0, 1
224, 600216, 807, 13, 2, 1, 0, 1
225, 600239, -993, -17, -2, -1, 0, 1
226, 600306, -528, 2, -2, 0, 0, 1
227, 600135, -2681, 18, -4, -4, 0, 1
228, 600130, 184, 75, -3, -4, 0, 1
229, 600236, 1175, -11, 3, 5, 0, 0
230, 600288, 113, -14, 3, 0, 0, 1
231, 600295, 1128, -29, 4, -1, -1, 1
